episode_length,mark,marks_nb,nb_episodes,nb_seasons,synopsis,title,url,years
,9.0,28000,3,1,"In January 1969, The Beatles set out to write and record new songs for their first live show in more than two years, culminating in an impromptu concert atop their Savile Row studio.",The Beatles: Get Back,https://www.imdb.com/title/tt9735318/?ref_=chttvtp_i_40,2021
24,8.9,375000,37,,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Death Note,https://www.imdb.com/title/tt0877057/?ref_=chttvtp_i_37,2006–2007
22,8.9,349000,173,9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Seinfeld,https://www.imdb.com/title/tt0098904/?ref_=chttvtp_i_39,1989–1998
75.56,9.0,18000,9,1,A comprehensive survey of the American Civil War.,The Civil War,https://www.imdb.com/title/tt0098769/?ref_=chttvtp_i_38,1990
45,9.5,21000000,62,5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=chttvtp_i_1,2008–2013
1.48,9.0,56000,64,9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Only Fools and Horses,https://www.imdb.com/title/tt0081912/?ref_=chttvtp_i_36,1981–2003
24,9.0,132000,148,,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",Hunter x Hunter,https://www.imdb.com/title/tt2098220/?ref_=chttvtp_i_35,2011–2014
45,9.0,55000,18,4,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Clarkson's Farm,https://www.imdb.com/title/tt10541088/?ref_=chttvtp_i_34,2021– 
,9.0,33000,10,,Focuses on life and the environment in both the Arctic and Antarctic.,Frozen Planet,https://www.imdb.com/title/tt2092588/?ref_=chttvtp_i_33,2011–2012
,9.0,640000,63,6,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,Better Call Saul,https://www.imdb.com/title/tt3032476/?ref_=chttvtp_i_30,2015–2022
50,9.0,28000,8,1,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Human Planet,https://www.imdb.com/title/tt1806234/?ref_=chttvtp_i_31,2011
,9.0,281000,14,,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag...",Firefly,https://www.imdb.com/title/tt0303461/?ref_=chttvtp_i_32,2002–2003
41,9.0,265000,10,2,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",Arcane,https://www.imdb.com/title/tt11126994/?ref_=chttvtp_i_29,2021– 
22,9.0,704000,188,9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",The Office,https://www.imdb.com/title/tt0386676/?ref_=chttvtp_i_27,2005–2013
48.62,9.0,43000,8,1,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",The Blue Planet,https://www.imdb.com/title/tt0296310/?ref_=chttvtp_i_28,2001
54,9.3,156000,10,1,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.",Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/?ref_=chttvtp_i_26,2020
25,8.5,19000,268,7,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c...",Alfred Hitchcock Presents,https://www.imdb.com/title/tt0047708/?ref_=chttvtp_i_249,1955–1962
,8.9,28000,60,5,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,Undercover,https://www.imdb.com/title/tt1909015/?ref_=chttvtp_i_250,2011–2016
25,8.7,15000,375,8,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",Gintama,https://www.imdb.com/title/tt0988818/?ref_=chttvtp_i_247,2005–2021
23,8.5,37000,25,,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,Your Lie in April,https://www.imdb.com/title/tt3895150/?ref_=chttvtp_i_246,2014–2018
3.21,8.6,18000,28,8,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the after...",Foyle's War,https://www.imdb.com/title/tt0310455/?ref_=chttvtp_i_248,2002–2015
2.67,8.8,17000,30,2,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", w...",Alchemy of Souls,https://www.imdb.com/title/tt20859920/?ref_=chttvtp_i_244,2022– 
22,8.5,292000,110,6,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Community,https://www.imdb.com/title/tt1439629/?ref_=chttvtp_i_242,2009–2015
20,8.6,12000,6,1,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,Tear Along the Dotted Line,https://www.imdb.com/title/tt15614372/?ref_=chttvtp_i_243,2021
45,8.7,11000,21,3,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies be...",Umbre,https://www.imdb.com/title/tt4269716/?ref_=chttvtp_i_239,2014–2019
50,8.5,17000,30,6,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a...",Chef's Table,https://www.imdb.com/title/tt4295140/?ref_=chttvtp_i_245,2015–2019
,8.6,21000,190,6,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Avrupa Yakasi,https://www.imdb.com/title/tt0421291/?ref_=chttvtp_i_241,2004–2009
1.72,8.5,531000,36,4,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",Westworld,https://www.imdb.com/title/tt0475784/?ref_=chttvtp_i_237,2016–2022
45,8.6,24000,100,9,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,Wentworth,https://www.imdb.com/title/tt2433738/?ref_=chttvtp_i_238,2013–2021
,8.5,275000,39,3,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,Hannibal,https://www.imdb.com/title/tt2243973/?ref_=chttvtp_i_236,2013–2015
29.5,8.6,16000,4,1,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",Rurouni Kenshin: Trust and Betrayal,https://www.imdb.com/title/tt0203082/?ref_=chttvtp_i_234,1999
30,8.5,26000,7,2,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,The Rehearsal,https://www.imdb.com/title/tt10802170/?ref_=chttvtp_i_235,2022– 
30,8.5,57000,19,3,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,Derry Girls,https://www.imdb.com/title/tt7120662/?ref_=chttvtp_i_232,2018–2022
22,8.5,144000,80,6,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They...",Schitt's Creek,https://www.imdb.com/title/tt3526078/?ref_=chttvtp_i_227,2015–2020
45,8.6,245000,175,13,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,Doctor Who,https://www.imdb.com/title/tt0436992/?ref_=chttvtp_i_226,2005–2022
28,8.5,165000,53,6,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Silicon Valley,https://www.imdb.com/title/tt2575988/?ref_=chttvtp_i_225,2014–2019
22,8.5,260000,180,14,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",Futurama,https://www.imdb.com/title/tt0149460/?ref_=chttvtp_i_228,1999– 
30,8.6,29000,81,12,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Letterkenny,https://www.imdb.com/title/tt4647692/?ref_=chttvtp_i_224,2016–2023
4.69,8.6,26000,16,1,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",Extraordinary Attorney Woo,https://www.imdb.com/title/tt20869502/?ref_=chttvtp_i_230,2022
24,8.5,77000,51,,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...",Fullmetal Alchemist,https://www.imdb.com/title/tt0421357/?ref_=chttvtp_i_229,2003–2004
23,8.5,57000,244,8,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,Regular Show,https://www.imdb.com/title/tt1710308/?ref_=chttvtp_i_223,2010–2017
58.75,8.6,35000,4,1,"North and South is a four-part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle-class southerner who is forced to move to the northern town of Milton.",North & South,https://www.imdb.com/title/tt0417349/?ref_=chttvtp_i_222,2004
55.17,8.5,145000,6,1,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",Spartacus: Gods of the Arena,https://www.imdb.com/title/tt1758429/?ref_=chttvtp_i_221,2011
30,8.5,50000,106,12,Three petty felons have a documentary made about their life in a trailer park.,Trailer Park Boys,https://www.imdb.com/title/tt0290988/?ref_=chttvtp_i_218,2001–2018
46,8.5,282000,134,11,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",Shameless,https://www.imdb.com/title/tt1586680/?ref_=chttvtp_i_217,2011–2021
30,8.6,38000,43,4,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point...",Skam,https://www.imdb.com/title/tt5288312/?ref_=chttvtp_i_220,2015–2017
25,8.6,12000,7,2,"Controversial spoof of current affairs television, and the role of celebrity in the UK.",Brass Eye,https://www.imdb.com/title/tt0118273/?ref_=chttvtp_i_219,1997–2001
24,8.5,84000,26,,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Neon Genesis Evangelion,https://www.imdb.com/title/tt0112159/?ref_=chttvtp_i_215,1995–1996
45,8.6,322000,92,7,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Sons of Anarchy,https://www.imdb.com/title/tt1124373/?ref_=chttvtp_i_214,2008–2014
,8.5,75000,18,1,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Twin Peaks,https://www.imdb.com/title/tt4093826/?ref_=chttvtp_i_216,2017
40,8.5,50000,60,6,Docuseries following the FIA Formula One World Championship across multiple seasons.,Formula 1: Drive to Survive,https://www.imdb.com/title/tt8289930/?ref_=chttvtp_i_211,2019– 
,8.5,64000,18,3,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,Happy Valley,https://www.imdb.com/title/tt3428912/?ref_=chttvtp_i_210,2014–2023
55,8.5,256000,33,3,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ...",Spartacus,https://www.imdb.com/title/tt1442449/?ref_=chttvtp_i_209,2010–2013
,8.5,123000,14,3,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily liv...,The Office,https://www.imdb.com/title/tt0290978/?ref_=chttvtp_i_212,2001–2003
30,8.6,76000,24,3,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,Heartstopper,https://www.imdb.com/title/tt10638036/?ref_=chttvtp_i_208,2022– 
30,8.5,46000,220,8,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audien...,Whose Line Is It Anyway?,https://www.imdb.com/title/tt0163507/?ref_=chttvtp_i_207,1998–2007
24,8.6,44000,37,3,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",Mob Psycho 100,https://www.imdb.com/title/tt5897304/?ref_=chttvtp_i_204,2016–2022
23,8.5,59000,62,5,"A samurai, sent through time, fights to return home and save the world.",Samurai Jack,https://www.imdb.com/title/tt0278238/?ref_=chttvtp_i_203,2001–2017
31.5,8.6,15000,10,,"Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and ...",Long Way Round,https://www.imdb.com/title/tt0403778/?ref_=chttvtp_i_202,2004–2010
29,8.6,22000,12,2,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",I'm Alan Partridge,https://www.imdb.com/title/tt0129690/?ref_=chttvtp_i_201,1997–2002
30,8.6,21000,20,3,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Detectorists,https://www.imdb.com/title/tt4082744/?ref_=chttvtp_i_205,2014–2022
1.27,8.7,37000,71,2,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",Ezel,https://www.imdb.com/title/tt1534360/?ref_=chttvtp_i_200,2009–2011
22,8.5,82000,61,5,"The life of Louie C.K., a divorced comedian living in New York with two kids.",Louie,https://www.imdb.com/title/tt1492966/?ref_=chttvtp_i_206,2010–2015
25,8.5,164000,25,5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",The IT Crowd,https://www.imdb.com/title/tt0487831/?ref_=chttvtp_i_197,2006–2013
25,8.5,57000,14,2,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Spaced,https://www.imdb.com/title/tt0187664/?ref_=chttvtp_i_199,1999–2001
49,8.5,416000,45,4,"Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corr...",Mr. Robot,https://www.imdb.com/title/tt4158110/?ref_=chttvtp_i_198,2015–2019
11,8.6,22000,69,6,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",The Eric Andre Show,https://www.imdb.com/title/tt2244495/?ref_=chttvtp_i_196,2012– 
2.47,8.6,33000,36,9,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of i...",Endeavour,https://www.imdb.com/title/tt2701582/?ref_=chttvtp_i_194,2012–2023
30,8.6,45000,284,10,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",Impractical Jokers,https://www.imdb.com/title/tt2100976/?ref_=chttvtp_i_195,2011– 
24,8.6,55000,26,,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",Samurai Champloo,https://www.imdb.com/title/tt0423731/?ref_=chttvtp_i_192,2004–2005
,8.9,18000,17,2,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",Rocket Boys,https://www.imdb.com/title/tt13868972/?ref_=chttvtp_i_190,2022– 
30,8.6,13000,16,2,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"Yes, Prime Minister",https://www.imdb.com/title/tt0086831/?ref_=chttvtp_i_191,1986–1987
28,8.6,66000,22,2,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",Flight of the Conchords,https://www.imdb.com/title/tt0863046/?ref_=chttvtp_i_187,2007–2009
24,8.5,65000,153,9,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a...",Dragon Ball,https://www.imdb.com/title/tt0280249/?ref_=chttvtp_i_186,1995–2003
91.5,8.5,80000,2,1,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for...",Battlestar Galactica,https://www.imdb.com/title/tt0314979/?ref_=chttvtp_i_184,2003
,8.5,546000,7,1,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",The Queen's Gambit,https://www.imdb.com/title/tt10048342/?ref_=chttvtp_i_183,2020
45,8.7,98000,20,3,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",The Family Man,https://www.imdb.com/title/tt9544034/?ref_=chttvtp_i_185,2019– 
24,8.6,109000,48,3,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself...,Jujutsu Kaisen,https://www.imdb.com/title/tt12343534/?ref_=chttvtp_i_182,2020– 
22,8.6,28000,86,7,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",The Venture Bros.,https://www.imdb.com/title/tt0417373/?ref_=chttvtp_i_181,2003–2018
30,8.6,101000,51,6,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,What We Do in the Shadows,https://www.imdb.com/title/tt7908628/?ref_=chttvtp_i_178,2019–2024
25,8.5,65000,153,,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",Dragon Ball,https://www.imdb.com/title/tt0088509/?ref_=chttvtp_i_180,1986–1989
52,8.7,14000,50,5,"A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.",The Bureau,https://www.imdb.com/title/tt4063800/?ref_=chttvtp_i_175,2015–2020
